Tm,bpf_1B,bpf_2B,bpf_3B,bpf_HR,Hand
LAA,100,97,92,95,L
BAL,104,96,84,111,L
BOS,103,124,121,90,L
CHW,96,93,102,108,L
CLE,103,107,83,105,L
DET,100,95,119,102,L
KCR,100,103,119,93,L
MIN,103,100,108,97,L
NYY,99,97,83,114,L
OAK,97,101,120,91,L
SEA,98,96,82,100,L
TBR,99,96,98,99,L
TEX,104,97,112,102,L
TOR,98,109,97,104,L
ARI,101,107,118,104,L
ATL,102,100,94,104,L
CHC,102,102,96,94,L
CIN,98,95,96,110,L
COL,108,108,140,108,L
MIA,100,93,106,89,L
HOU,98,95,107,103,L
LAD,96,98,78,105,L
MIL,100,100,94,111,L
WSN,104,103,85,95,L
NYM,94,97,89,99,L
PHI,97,98,96,108,L
PIT,102,98,85,98,L
STL,100,100,96,97,L
SDP,98,100,86,96,L
SFG,102,100,130,82,L
LAA,100,95,86,99,R
BAL,101,97,92,105,R
BOS,104,106,88,101,R
CHW,101,97,88,105,R
CLE,98,103,83,99,R
DET,101,100,126,100,R
KCR,101,107,111,92,R
MIN,103,106,102,104,R
NYY,100,93,83,112,R
OAK,101,103,108,97,R
SEA,98,96,90,98,R
TBR,98,93,102,94,R
TEX,103,101,106,100,R
TOR,96,107,96,102,R
ARI,99,106,136,104,R
ATL,100,103,90,95,R
CHC,98,98,111,105,R
CIN,99,105,88,106,R
COL,111,112,128,113,R
MIA,97,100,108,90,R
HOU,98,97,110,101,R
LAD,96,99,75,96,R
MIL,97,100,96,105,R
WSN,105,102,79,100,R
NYM,96,95,82,98,R
PHI,99,98,95,116,R
PIT,103,100,104,89,R
STL,101,99,96,94,R
SDP,98,93,109,95,R
SFG,99,97,111,88,R