name,Power,Ground
Joe Kelly,vs. avg.P/F,vs. GrndBall
Joe Musgrove,vs. Finesse,vs. avg.F/G
Joe Nathan,vs. Power,vs. Fly Ball
Joe Ross,vs. avg.P/F,vs. avg.F/G
Joe Smith,vs. avg.P/F,vs. GrndBall
Joe Thatcher,vs. Power,vs. Fly Ball
Joel Peralta,vs. avg.P/F,vs. Fly Ball
Joey Lucchesi,vs. Power,vs. GrndBall
John Axford,vs. Power,vs. GrndBall
John Baker,vs. Power,vs. Fly Ball
John Brebbia,vs. avg.P/F,vs. Fly Ball
John Danks,vs. Finesse,vs. Fly Ball
John Gant,vs. avg.P/F,vs. GrndBall
John Lackey,vs. Finesse,vs. avg.F/G
Johnny Cueto,vs. Finesse,vs. avg.F/G
Jon Gray,vs. Power,vs. GrndBall
Jon Lester,vs. avg.P/F,vs. avg.F/G
Jon Niese,vs. Finesse,vs. GrndBall
Jonathan Broxton,vs. Power,vs. avg.F/G
Jonathan Holder,vs. Finesse,vs. Fly Ball
Jonathan Loaisiga,vs. Power,vs. GrndBall
Jonathan Papelbon,vs. Power,vs. Fly Ball
Jordan Hicks,vs. Power,vs. GrndBall
Jordan Lyles,vs. Finesse,vs. GrndBall
Jordan Montgomery,vs. avg.P/F,vs. Fly Ball
Jordan Zimmermann,vs. Finesse,vs. avg.F/G
Jorge De La Rosa,vs. avg.P/F,vs. GrndBall
Jose Alvarado,vs. Power,vs. GrndBall
Jose Alvarez,vs. avg.P/F,vs. avg.F/G
Jose Berrios,vs. avg.P/F,vs. Fly Ball
Jose Castillo,vs. Power,vs. Fly Ball
Jose De Leon,vs. avg.P/F,vs. GrndBall
Jose Fernandez,vs. Power,vs. avg.F/G
Jose Leclerc,vs. Power,vs. Fly Ball
Jose Quintana,vs. Finesse,vs. avg.F/G
Jose Ramirez,vs. Power,vs. Fly Ball
Jose Torres,vs. avg.P/F,vs. Fly Ball
Jose Urena,vs. Finesse,vs. GrndBall
Jose Valdez,vs. avg.P/F,vs. avg.F/G
Jose Veras,vs. Power,vs. Fly Ball
Josh Beckett,vs. avg.P/F,vs. avg.F/G
Josh Collmenter,vs. Finesse,vs. Fly Ball
Josh Edgin,vs. avg.P/F,vs. avg.F/G
Josh Fields,vs. Power,vs. Fly Ball
Josh Hader,vs. Power,vs. Fly Ball
Josh Osich,vs. avg.P/F,vs. GrndBall
Josh Outman,vs. avg.P/F,vs. avg.F/G
Josh Ravin,vs. Power,vs. avg.F/G
Josh Smith,vs. avg.P/F,vs. avg.F/G
Josh Smoker,vs. Power,vs. Fly Ball
Josh Tomlin,vs. Finesse,vs. avg.F/G
Juan Carlos Oviedo,vs. Finesse,vs. Fly Ball
Juan Minaya,vs. Power,vs. Fly Ball
Juan Nicasio,vs. avg.P/F,vs. avg.F/G
Julio Teheran,vs. avg.P/F,vs. Fly Ball
Julio Urias,vs. Power,vs. GrndBall
Jumbo Diaz,vs. Power,vs. avg.F/G
Junichi Tazawa,vs. avg.P/F,vs. Fly Ball
Junior Guerra,vs. Power,vs. avg.F/G
Justin Anderson,vs. Power,vs. avg.F/G
Justin De Fratus,vs. avg.P/F,vs. avg.F/G
Justin Grimm,vs. Power,vs. avg.F/G
Justin Masterson,vs. avg.P/F,vs. GrndBall
Justin Miller,vs. Power,vs. Fly Ball
Justin Nicolino,vs. Finesse,vs. GrndBall
Justin Verlander,vs. avg.P/F,vs. Fly Ball
Justin Wilson,vs. Power,vs. avg.F/G
Kelvin Herrera,vs. avg.P/F,vs. GrndBall
Ken Giles,vs. Power,vs. avg.F/G
Kendall Graveman,vs. Finesse,vs. GrndBall
Kenley Jansen,vs. Power,vs. Fly Ball
Kenta Maeda,vs. Power,vs. avg.F/G
Keone Kela,vs. Power,vs. avg.F/G
Kevin Chapman,vs. Power,vs. avg.F/G
Kevin Correia,vs. Finesse,vs. avg.F/G
Kevin Gausman,vs. avg.P/F,vs. avg.F/G
Kevin Jepsen,vs. avg.P/F,vs. avg.F/G
Kevin McCarthy,vs. Finesse,vs. GrndBall
Kevin Quackenbush,vs. avg.P/F,vs. avg.F/G
Kevin Siegrist,vs. Power,vs. Fly Ball
Keynan Middleton,vs. Power,vs. Fly Ball
Keyvius Sampson,vs. Power,vs. avg.F/G
Kirby Yates,vs. Power,vs. Fly Ball
Koda Glover,vs. Finesse,vs. avg.F/G
Koji Uehara,vs. Power,vs. Fly Ball
Kris Medlen,vs. Finesse,vs. avg.F/G
Kyle Barraclough,vs. Power,vs. GrndBall
Kyle Crick,vs. Power,vs. Fly Ball
Kyle Crockett,vs. avg.P/F,vs. GrndBall
Kyle Freeland,vs. Finesse,vs. GrndBall
Kyle Gibson,vs. Finesse,vs. GrndBall
Kyle Hendricks,vs. Finesse,vs. GrndBall
Kyle Kendrick,vs. Finesse,vs. avg.F/G
Kyle Lobstein,vs. Finesse,vs. GrndBall
Kyle Lohse,vs. Finesse,vs. Fly Ball
Kyle Ryan,vs. Finesse,vs. GrndBall
LaTroy Hawkins,vs. Finesse,vs. avg.F/G
Lance Lynn,vs. Power,vs. avg.F/G
Lance McCullers,vs. Power,vs. GrndBall
Lance McCullers Jr.,vs. Power,vs. GrndBall
Liam Hendriks,vs. Finesse,vs. avg.F/G
Lisalverto Bonilla,vs. Power,vs. avg.F/G
Logan Kensing,vs. Power,vs. Fly Ball
Logan Ondrusek,vs. avg.P/F,vs. avg.F/G
Logan Verrett,vs. avg.P/F,vs. GrndBall
Lou Trivino,vs. Power,vs. GrndBall
Louis Coleman,vs. Power,vs. Fly Ball
Lucas Giolito,vs. Finesse,vs. avg.F/G
Lucas Harrell,vs. avg.P/F,vs. GrndBall
Lucas Sims,vs. avg.P/F,vs. Fly Ball
Luis Avilan,vs. avg.P/F,vs. GrndBall
Luis Castillo,vs. Power,vs. GrndBall
Luis Cessa,vs. Finesse,vs. avg.F/G
Luis Garcia,vs. Power,vs. GrndBall
Luis Perdomo,vs. Finesse,vs. GrndBall
Luis Severino,vs. Power,vs. GrndBall
Luke Farrell,vs. Power,vs. Fly Ball
Luke Gregerson,vs. avg.P/F,vs. GrndBall
Luke Hochevar,vs. Finesse,vs. avg.F/G
Luke Jackson,vs. Finesse,vs. avg.F/G
Luke Weaver,vs. Power,vs. avg.F/G
Madison Bumgarner,vs. avg.P/F,vs. avg.F/G
Marc Rzepczynski,vs. Power,vs. GrndBall
Marco Estrada,vs. avg.P/F,vs. Fly Ball
Marco Gonzales,vs. Finesse,vs. avg.F/G
Marcus Stroman,vs. Finesse,vs. GrndBall
Mario Hollands,vs. avg.P/F,vs. GrndBall
Mark Buehrle,vs. Finesse,vs. avg.F/G
Mark Leiter,vs. avg.P/F,vs. GrndBall
Mark Melancon,vs. avg.P/F,vs. GrndBall
Martin Perez,vs. Finesse,vs. GrndBall
Masahiro Tanaka,vs. avg.P/F,vs. GrndBall
Mat Latos,vs. avg.P/F,vs. avg.F/G
Matt Albers,vs. Finesse,vs. GrndBall
Matt Andriese,vs. Finesse,vs. avg.F/G
Matt Barnes,vs. Power,vs. avg.F/G
Matt Belisle,vs. Finesse,vs. GrndBall
Matt Bush,vs. avg.P/F,vs. avg.F/G
Matt Cain,vs. avg.P/F,vs. Fly Ball
Matt Dermody,vs. Finesse,vs. Fly Ball
Matt Garza,vs. Finesse,vs. avg.F/G
Matt Grace,vs. Finesse,vs. GrndBall
Matt Harrison,vs. Finesse,vs. avg.F/G
Matt Harvey,vs. avg.P/F,vs. avg.F/G
Matt Koch,vs. Finesse,vs. avg.F/G
Matt Lindstrom,vs. Finesse,vs. avg.F/G
Matt Magill,vs. Power,vs. Fly Ball
Matt Moore,vs. avg.P/F,vs. Fly Ball
Matt Shoemaker,vs. Finesse,vs. Fly Ball
Matt Strahm,vs. Power,vs. Fly Ball
Matt Thornton,vs. Power,vs. avg.F/G
Matt Wisler,vs. Finesse,vs. Fly Ball
Matthew Bowman,vs. avg.P/F,vs. GrndBall
Matthew Boyd,vs. avg.P/F,vs. Fly Ball
Mauricio Cabrera,vs. Power,vs. avg.F/G
Max Fried,vs. Power,vs. GrndBall
Max Scherzer,vs. Power,vs. Fly Ball
Merandy Gonzalez,vs. avg.P/F,vs. Fly Ball
Michael Blazek,vs. avg.P/F,vs. avg.F/G
Michael Feliz,vs. Power,vs. Fly Ball
Michael Fulmer,vs. Finesse,vs. GrndBall
Michael Kohn,vs. Power,vs. Fly Ball
Michael Lorenzen,vs. avg.P/F,vs. GrndBall
Michael Pineda,vs. avg.P/F,vs. avg.F/G
Michael Tonkin,vs. avg.P/F,vs. Fly Ball
Michael Wacha,vs. avg.P/F,vs. GrndBall
Miguel Castro,vs. avg.P/F,vs. GrndBall
Miguel Gonzalez,vs. Finesse,vs. Fly Ball
Miguel Socolovich,vs. avg.P/F,vs. Fly Ball
Mike Adams,vs. avg.P/F,vs. Fly Ball
Mike Bolsinger,vs. avg.P/F,vs. GrndBall
Mike Clevinger,vs. Power,vs. avg.F/G
Mike Dunn,vs. Power,vs. Fly Ball
Mike Fiers,vs. avg.P/F,vs. Fly Ball
Mike Foltynewicz,vs. avg.P/F,vs. Fly Ball
Mike Leake,vs. Finesse,vs. GrndBall
Mike Mayers,vs. Finesse,vs. avg.F/G
Mike Minor,vs. avg.P/F,vs. Fly Ball
Mike Montgomery,vs. avg.P/F,vs. GrndBall
Mike Morin,vs. avg.P/F,vs. Fly Ball
Mike Pelfrey,vs. Finesse,vs. GrndBall
Mike Soroka,vs. Finesse,vs. GrndBall
Mike Wright,vs. Finesse,vs. avg.F/G
Mike Wright Jr.,vs. Finesse,vs. avg.F/G
Miles Mikolas,vs. Finesse,vs. GrndBall
Mitch Harris,vs. Finesse,vs. Fly Ball
Mychal Givens,vs. Power,vs. avg.F/G
Nate Jones,vs. Power,vs. avg.F/G
Nate Karns,vs. Power,vs. avg.F/G
Nathan Eovaldi,vs. Finesse,vs. avg.F/G
Neal Cotts,vs. Power,vs. avg.F/G
Neftali Feliz,vs. Power,vs. Fly Ball
Neil Ramirez,vs. Power,vs. Fly Ball
Nick Greenwood,vs. Finesse,vs. GrndBall
Nick Hagadone,vs. Power,vs. Fly Ball
Nick Kingham,vs. avg.P/F,vs. Fly Ball
Nick Martinez,vs. Finesse,vs. avg.F/G
Nick Masset,vs. avg.P/F,vs. GrndBall
Nick Pivetta,vs. Power,vs. avg.F/G
Nick Tepesch,vs. Finesse,vs. avg.F/G
Nick Tropeano,vs. avg.P/F,vs. Fly Ball
Nick Vincent,vs. avg.P/F,vs. Fly Ball
Nick Wittgren,vs. avg.P/F,vs. Fly Ball
Noah Syndergaard,vs. Power,vs. GrndBall
Noe Ramirez,vs. Power,vs. avg.F/G
Odrisamer Despaigne,vs. Finesse,vs. GrndBall
Oliver Drake,vs. Power,vs. GrndBall
Oliver Perez,vs. Power,vs. Fly Ball
Pablo Lopez,vs. avg.P/F,vs. GrndBall
Parker Bridwell,vs. Finesse,vs. Fly Ball
Pat Neshek,vs. avg.P/F,vs. Fly Ball
Patrick Corbin,vs. avg.P/F,vs. GrndBall
Paul Blackburn,vs. Finesse,vs. GrndBall
Paul Clemens,vs. Finesse,vs. Fly Ball
Pedro Araujo,vs. Power,vs. Fly Ball
Pedro Baez,vs. Power,vs. Fly Ball
Pedro Figueroa,vs. avg.P/F,vs. avg.F/G
Pedro Strop,vs. Power,vs. GrndBall
Peter Moylan,vs. avg.P/F,vs. GrndBall
Phil Coke,vs. Finesse,vs. avg.F/G
Phil Hughes,vs. Finesse,vs. Fly Ball
Phil Maton,vs. Power,vs. avg.F/G
Pierce Johnson,vs. avg.P/F,vs. avg.F/G
Preston Claiborne,vs. Finesse,vs. Fly Ball
R.A. Dickey,vs. Finesse,vs. avg.F/G
Rafael Betancourt,vs. avg.P/F,vs. Fly Ball
Rafael Martin,vs. Power,vs. avg.F/G
Rafael Montero,vs. Power,vs. avg.F/G
Rafael Soriano,vs. Power,vs. Fly Ball
Raisel Iglesias,vs. Power,vs. avg.F/G
Randall Delgado,vs. avg.P/F,vs. avg.F/G
Randy Choate,vs. avg.P/F,vs. GrndBall
Randy Rosario,vs. Finesse,vs. GrndBall
Rex Brothers,vs. Power,vs. avg.F/G
Reyes Moronta,vs. Power,vs. Fly Ball
Reynaldo Lopez,vs. avg.P/F,vs. Fly Ball
Rich Hill,vs. Power,vs. Fly Ball
Richard Bleier,vs. Finesse,vs. GrndBall
Richard Rodriguez,vs. Power,vs. Fly Ball
Rick Porcello,vs. Finesse,vs. GrndBall
Ricky Nolasco,vs. Finesse,vs. avg.F/G
Rob Rasmussen,vs. Power,vs. Fly Ball
Rob Scahill,vs. Finesse,vs. GrndBall
Robbie Erlin,vs. Finesse,vs. avg.F/G
Robbie Ray,vs. Power,vs. avg.F/G
Robbie Ross,vs. avg.P/F,vs. GrndBall
Robby Scott,vs. avg.P/F,vs. avg.F/G
Robert Gsellman,vs. Finesse,vs. GrndBall
Robert Stephenson,vs. Power,vs. Fly Ball
Roberto Gomez,vs. Finesse,vs. avg.F/G
Roberto Hernandez,vs. Finesse,vs. GrndBall
Roberto Osuna,vs. Power,vs. Fly Ball
Roenis Elias,vs. avg.P/F,vs. avg.F/G
Ronald Belisario,vs. avg.P/F,vs. GrndBall
Ross Detwiler,vs. Finesse,vs. avg.F/G
Ross Ohlendorf,vs. Finesse,vs. Fly Ball
Ross Stripling,vs. avg.P/F,vs. GrndBall
Rubby De La Rosa,vs. avg.P/F,vs. GrndBall
Ryan Buchter,vs. Power,vs. Fly Ball
Ryan Cook,vs. Power,vs. avg.F/G
Ryan Dull,vs. avg.P/F,vs. Fly Ball
Ryan Madson,vs. avg.P/F,vs. avg.F/G
Ryan Mattheus,vs. Finesse,vs. GrndBall
Ryan Merritt,vs. Finesse,vs. GrndBall
Ryan Pressly,vs. avg.P/F,vs. avg.F/G
Ryan Sherriff,vs. avg.P/F,vs. GrndBall
Ryan Tepera,vs. Power,vs. avg.F/G
Ryan Vogelsong,vs. Finesse,vs. avg.F/G
Ryan Webb,vs. Finesse,vs. GrndBall
Ryan Yarbrough,vs. avg.P/F,vs. avg.F/G
Sal Romano,vs. avg.P/F,vs. GrndBall
Sam Deduno,vs. avg.P/F,vs. GrndBall
Sam Dyson,vs. Finesse,vs. GrndBall
Sam Freeman,vs. Power,vs. GrndBall
Sam Gaviglio,vs. Finesse,vs. GrndBall
Sam Tuivailala,vs. avg.P/F,vs. GrndBall
Sammy Solis,vs. Power,vs. avg.F/G
Sandy Alcantara,vs. Power,vs. avg.F/G
Santiago Casilla,vs. Power,vs. avg.F/G
Scott Alexander,vs. avg.P/F,vs. GrndBall
Scott Atchison,vs. Finesse,vs. GrndBall
Scott Baker,vs. Finesse,vs. Fly Ball
Scott Barlow,vs. Finesse,vs. Fly Ball
Scott Carroll,vs. Finesse,vs. GrndBall
Scott Elbert,vs. Power,vs. Fly Ball
Scott Feldman,vs. Finesse,vs. GrndBall
Scott Kazmir,vs. avg.P/F,vs. Fly Ball
Scott Oberg,vs. avg.P/F,vs. GrndBall
Sean Doolittle,vs. Power,vs. Fly Ball
Sean Gilmartin,vs. avg.P/F,vs. avg.F/G
Sean Manaea,vs. Finesse,vs. avg.F/G
Sean Newcomb,vs. Power,vs. avg.F/G
Sean O'Sullivan,vs. Finesse,vs. Fly Ball
Seranthony Dominguez,vs. Power,vs. GrndBall
Sergio Romo,vs. Power,vs. Fly Ball
Seth Lugo,vs. avg.P/F,vs. avg.F/G
Seth Maness,vs. Finesse,vs. GrndBall
Seunghwan Oh,vs. Power,vs. Fly Ball
Severino Gonzalez,vs. Finesse,vs. Fly Ball
Shane Bieber,vs. Finesse,vs. avg.F/G
Shane Carle,vs. Finesse,vs. avg.F/G
Shane Greene,vs. avg.P/F,vs. avg.F/G
Shaun Marcum,vs. Finesse,vs. Fly Ball
Shawn Kelley,vs. Power,vs. Fly Ball
Shawn Tolleson,vs. avg.P/F,vs. avg.F/G
Shelby Miller,vs. avg.P/F,vs. avg.F/G
Shohei Ohtani,vs. Power,vs. Fly Ball
Silvino Bracho,vs. Power,vs. Fly Ball
Simon Castro,vs. Power,vs. Fly Ball
Sonny Gray,vs. avg.P/F,vs. GrndBall
Stephen Strasburg,vs. Power,vs. avg.F/G
Steve Cishek,vs. Power,vs. GrndBall
Steve Delabar,vs. Power,vs. Fly Ball
Steve Geltz,vs. Power,vs. Fly Ball
Steven Brault,vs. avg.P/F,vs. avg.F/G
Steven Matz,vs. avg.P/F,vs. GrndBall
Steven Wright,vs. Finesse,vs. avg.F/G
Stolmy Pimentel,vs. Power,vs. Fly Ball
T.J. House,vs. Finesse,vs. GrndBall
T.J. McFarland,vs. Finesse,vs. GrndBall
Taijuan Walker,vs. avg.P/F,vs. avg.F/G
Tanner Roark,vs. Finesse,vs. GrndBall
Tanner Scheppers,vs. avg.P/F,vs. avg.F/G
Taylor Jungmann,vs. avg.P/F,vs. GrndBall
Taylor Rogers,vs. avg.P/F,vs. GrndBall
Tayron Guerrero,vs. Power,vs. avg.F/G
Tim Adleman,vs. avg.P/F,vs. Fly Ball
Tim Hill,vs. avg.P/F,vs. GrndBall
Tim Hudson,vs. Finesse,vs. GrndBall
Tim Lincecum,vs. Power,vs. avg.F/G
Tim Mayza,vs. Power,vs. Fly Ball
Tim Peterson,vs. avg.P/F,vs. Fly Ball
Tim Stauffer,vs. Finesse,vs. GrndBall
Tom Gorzelanny,vs. avg.P/F,vs. Fly Ball
Tom Koehler,vs. avg.P/F,vs. avg.F/G
Tom Wilhelmsen,vs. Power,vs. avg.F/G
Tommy Hunter,vs. Finesse,vs. avg.F/G
Tommy Kahnle,vs. Power,vs. GrndBall
Tommy Layne,vs. Power,vs. GrndBall
Tommy Milone,vs. Finesse,vs. Fly Ball
Tony Barnette,vs. avg.P/F,vs. GrndBall
Tony Cingrani,vs. Power,vs. Fly Ball
Tony Sipp,vs. Power,vs. Fly Ball
Tony Watson,vs. avg.P/F,vs. avg.F/G
Tony Zych,vs. Power,vs. GrndBall
Travis Wood,vs. avg.P/F,vs. Fly Ball
Trevor Bauer,vs. Power,vs. avg.F/G
Trevor Cahill,vs. avg.P/F,vs. GrndBall
Trevor Gott,vs. Finesse,vs. GrndBall
Trevor Hildenberger,vs. avg.P/F,vs. GrndBall
Trevor May,vs. avg.P/F,vs. Fly Ball
Trevor Richards,vs. Power,vs. avg.F/G
Trevor Rosenthal,vs. Power,vs. avg.F/G
Trevor Williams,vs. Finesse,vs. GrndBall
Troy Scribner,vs. Power,vs. Fly Ball
Tsuyoshi Wada,vs. avg.P/F,vs. avg.F/G
Ty Blach,vs. Finesse,vs. GrndBall
Tyler Anderson,vs. avg.P/F,vs. avg.F/G
Tyler Chatwood,vs. avg.P/F,vs. GrndBall
Tyler Clippard,vs. Power,vs. Fly Ball
Tyler Duffey,vs. Finesse,vs. GrndBall
Tyler Glasnow,vs. Power,vs. GrndBall
Tyler Lyons,vs. avg.P/F,vs. avg.F/G
Tyler Mahle,vs. Power,vs. avg.F/G
Tyler Matzek,vs. avg.P/F,vs. GrndBall
Tyler Olson,vs. Power,vs. avg.F/G
Tyler Skaggs,vs. avg.P/F,vs. avg.F/G
Tyler Thornburg,vs. Power,vs. Fly Ball
Tyler Wilson,vs. Finesse,vs. GrndBall
Tyrell Jenkins,vs. Finesse,vs. GrndBall
Tyson Ross,vs. Power,vs. GrndBall
Ubaldo Jimenez,vs. Power,vs. avg.F/G
Vance Worley,vs. Finesse,vs. avg.F/G
Vic Black,vs. Power,vs. Fly Ball
Victor Arano,vs. Power,vs. avg.F/G
Vidal Nuno,vs. Finesse,vs. Fly Ball
Vince Velasquez,vs. Power,vs. Fly Ball
Wade Davis,vs. avg.P/F,vs. Fly Ball
Wade LeBlanc,vs. Finesse,vs. Fly Ball
Wade Miley,vs. Finesse,vs. GrndBall
Walker Buehler,vs. Power,vs. GrndBall
Wandy Peralta,vs. Power,vs. GrndBall
Wandy Rodriguez,vs. Finesse,vs. avg.F/G
Warwick Saupold,vs. Finesse,vs. avg.F/G
Wei-Yin Chen,vs. Finesse,vs. Fly Ball
Will Harris,vs. Power,vs. GrndBall
Will Smith,vs. Power,vs. avg.F/G
Williams Perez,vs. Finesse,vs. GrndBall
Wilmer Font,vs. avg.P/F,vs. Fly Ball
Wily Peralta,vs. Finesse,vs. GrndBall
Xavier Cedeno,vs. Power,vs. GrndBall
Yacksel Rios,vs. avg.P/F,vs. Fly Ball
Yimi Garcia,vs. avg.P/F,vs. Fly Ball
Yoervis Medina,vs. Power,vs. GrndBall
Yohan Flande,vs. Finesse,vs. GrndBall
Yohan Pino,vs. Finesse,vs. Fly Ball
Yordano Ventura,vs. avg.P/F,vs. GrndBall
Yoshihisa Hirano,vs. avg.P/F,vs. GrndBall
Yovani Gallardo,vs. avg.P/F,vs. avg.F/G
Yu Darvish,vs. Power,vs. avg.F/G
Yusmeiro Petit,vs. Finesse,vs. Fly Ball
Zac Rosscup,vs. Power,vs. Fly Ball
Zach Britton,vs. avg.P/F,vs. GrndBall
Zach Davies,vs. Finesse,vs. GrndBall
Zach Duke,vs. Finesse,vs. GrndBall
Zach Eflin,vs. Finesse,vs. avg.F/G
Zach McAllister,vs. avg.P/F,vs. Fly Ball
Zach Neal,vs. Finesse,vs. GrndBall
Zach Putnam,vs. Power,vs. GrndBall
Zack Godley,vs. Power,vs. GrndBall
Zack Greinke,vs. avg.P/F,vs. avg.F/G
Zack Wheeler,vs. Power,vs. GrndBall
