Tm,ppf_RUNS,ppf_HR,ppf_H,ppf_2B,ppf_3B,ppf_BB
COL,1.332,1.195,1.152,1.175,2.259,1.085
TEX,1.215,1.127,1.135,1.185,1,1.184
ARI,1.202,1.222,1.088,1.351,1.355,1.026
DET,1.169,1.154,1.119,1.129,1.333,0.987
CHC,1.131,1.005,1.049,1.104,1.3,1.074
OAK,1.103,1.056,1.023,1.108,2.308,1.06
MIN,1.095,1.172,1.088,1.081,1.375,1.118
MIL,1.094,1.049,1.033,1.155,0.763,1.032
PHI,1.073,1.409,0.999,0.943,1.065,1.067
WSN,1.057,1.04,1.11,1.075,0.636,0.964
BOS,1.026,0.824,1.103,1.156,0.75,0.958
BAL,1.026,1.236,1.034,0.918,0.706,1.097
CIN,1.02,1.094,0.94,1.007,1.222,1.044
NYY,1.019,1.279,0.935,0.811,0.75,0.979
CHW,1.003,1.162,0.927,0.876,0.816,1.066
ATL,0.976,0.951,1.019,1.057,0.722,0.91
CLE,0.971,0.974,0.988,1.017,0.64,0.931
LAD,0.971,1.005,0.954,0.974,0.6,0.907
LAA,0.949,0.971,0.998,0.876,0.722,0.815
PIT,0.948,0.86,1.043,1.084,0.634,0.958
TOR,0.946,0.923,0.974,1.075,0.937,0.894
KCR,0.926,0.809,0.966,1.078,1.207,0.98
SEA,0.917,0.925,0.946,0.885,1.071,1.053
TBR,0.902,0.888,0.937,0.837,1.13,0.992
STL,0.889,0.849,0.974,0.957,0.967,1
NYM,0.858,0.798,0.88,0.899,0.7,0.986
SFG,0.85,0.615,0.968,1.003,1.048,0.938
MIA,0.848,0.835,0.907,0.716,1.142,1.041
SDP,0.828,0.781,0.887,0.859,1,0.98
HOU,0.826,1.009,0.9,0.81,0.654,0.927